,tokens,dbz,doomEternal,twice,maroon5,coldplay,bioshock
0,used,0,0,0,0,0,1
1,rock,0,0,0,1,1,0
2,ranked,0,0,1,0,0,0
3,nintendo,0,1,0,0,0,1
4,also,1,0,0,0,1,1
5,sound,0,0,0,0,1,0
6,3,0,0,0,1,1,1
7,political,0,0,0,0,1,0
8,main,0,1,0,0,0,0
9,met,0,0,0,0,1,0
10,y,0,0,0,0,1,0
11,partnership,0,0,1,0,0,0
12,woman,0,0,0,0,0,1
13,222,0,0,0,1,0,0
14,rolling,0,0,0,0,1,0
15,republic,0,0,1,0,0,0
16,eternal,0,1,0,0,0,0
17,2020,0,1,1,0,0,1
18,signed,0,0,0,1,0,0
19,exterminate,0,1,0,0,0,0
20,reviews,0,0,0,1,0,0
21,serious,0,0,0,1,0,0
22,canadian,0,0,1,0,0,0
23,involved,0,0,0,0,0,1
24,id,0,1,0,0,0,0
25,from,1,0,1,1,1,1
26,over,0,0,1,1,1,1
27,likey,0,0,1,0,0,0
28,2000s,0,0,0,0,1,0
29,attributes,0,0,0,0,0,1
30,be,0,1,0,1,0,1
31,3.75,0,0,1,0,0,0
32,long,0,0,0,1,0,0
33,several,0,0,0,0,0,1
34,``,0,1,1,1,1,1
35,'',0,1,1,1,1,1
36,soundtrack,0,1,0,0,0,0
37,adult,1,0,0,0,0,0
38,alien,0,1,0,0,0,0
39,2007,0,0,0,1,0,0
40,ball,1,0,0,0,1,0
41,help,0,0,0,0,0,1
42,2008,0,0,0,0,1,0
43,concept,0,0,0,0,0,1
44,own,0,0,0,1,0,0
45,action,0,1,0,0,0,0
46,well,1,0,0,0,0,0
47,announced,0,0,0,0,1,0
48,rush,0,0,0,0,1,0
49,aboard,0,0,0,0,0,1
50,gods,0,1,0,0,0,0
51,gt,1,0,0,0,0,0
52,themes,0,0,0,0,0,1
53,campaigns,0,1,0,0,0,0
54,who,0,0,0,0,0,1
55,manga,1,0,0,0,0,0
56,chaeyoung,0,0,1,0,0,0
57,demon,0,1,0,0,0,0
58,1,0,1,1,1,1,0
59,worldwide,1,0,0,0,1,1
60,six,0,0,0,1,0,0
61,million,0,0,1,1,1,1
62,2019,0,0,1,0,1,0
63,mercury,0,0,0,0,1,0
64,system,0,0,0,0,0,1
65,between,0,1,0,0,0,0
66,digital,0,0,1,0,0,0
67,representing,0,0,0,0,0,1
68,foil,0,1,0,0,0,0
69,1996,1,0,0,0,1,0
70,currently,0,1,0,1,0,0
71,mnet,0,0,1,0,0,0
72,vocalist,0,0,0,1,1,0
73,themselves,0,0,0,0,1,0
74,in,1,1,1,1,1,1
75,multiplayer,0,1,0,0,0,0
76,bassist,0,0,0,1,1,0
77,controls,0,0,0,0,0,1
78,mickey,0,0,0,1,0,0
79,chapters,1,0,0,0,0,0
80,29,0,1,0,0,0,1
81,pronounced,0,0,0,1,0,0
82,cancer,0,0,0,0,1,0
83,mode,0,1,0,0,0,0
84,rescues,0,0,0,0,0,1
85,guitarist,0,0,0,1,1,0
86,brian,0,0,0,0,1,0
87,death,0,0,0,0,1,0
88,elizabeth,0,0,0,0,0,1
89,ドラゴンボールz,1,0,0,0,0,0
90,consumption,0,1,0,0,0,0
91,twicetagram,0,0,1,0,0,0
92,live,0,0,0,0,1,0
93,more,0,0,1,1,1,1
94,open,0,0,1,0,0,0
95,pursuing,0,0,0,1,0,0
96,international,0,0,0,0,1,0
97,campaign,0,1,0,0,1,0
98,port,0,0,0,0,0,1
99,1986,1,0,0,0,0,0
